영문공항명,한글공항명,공항코드1(IATA),한글국가명
Alberto Carnevalli Airport,알베르토 카르네발리 공항,MRD,베네수엘라
Albrook International Airport,알브룩 국제공항,PAC,파나마
Albuquerque International Sunport Airport,앨버커키 국제 선포트 공항,ABQ,미국
Albury Airport,앨버리 공항,ABX,오스트레일리아
AlcantarI Airport,알칸타리 공항,SRE,볼리비아
Aldan Airport,알단 공항,ADH,러시아
Alderney Airport,올더니 공항,ACI,건지
Alegrete Airport,알레그레테 공항,ALQ,브라질
Alejandro Velasco Astete International Airport,알레한드로 벨라스코 아스테테 국제공항,CUZ,페루
Aleknagik Airport,알렉나직 공항,WKK,미국
Aleppo International Airport,알레포 국제 공항,ALP,시리아
Alesund Airport,올레순비그라 공항,AES,노르웨이
Alexandra Aerodrome,알렉산드라 비행장,ALR,뉴질랜드
Alexandria International Airport,알렉산드리아 국제 공항,AEX,미국
Alexandroupoli Airport,알렉산드로폴리 공항,AXD,그리스
Alferez FAP David Figueroa Fernandini Airport,알페레스 FAP 다비드 피게로아 페르난디니 공항,HUU,페루
Alfonso Bonilla Aragon International Airport,알폰소 보닐라 아라곤 국제 공항,CLO,콜롬비아
Alfonso Lopez Pumarejo Airport,알폰소 로페스 푸마레호 공항,VUP,콜롬비아
Alfredo Vasquez Cobo International Airport,알프레도 바스케스 코보 국제공항,LET,콜롬비아
Alghero Fertilia Airport,알게로 페르틸리아 공항,AHO,이탈리아
Ali Pulan Airport,알리 풀란 공항,APJ,중국
Ali Sabieh Hassan Gouled Aptidon International Airport,알리 사비에 하산 굴레드 압티돈 국제공항,n/a,지부티
Alicante Elche Airport,알리칸테 엘체 공항,ALC,스페인
Alice International Airport,앨리스 국제 공항,ALI,미국
Alice Springs Airport,앨리스 스프링스 공항,ASP,오스트레일리아
Aligarh Airport,알리가르 공항,HRH,인도
Alitak Seaplane Base,알리탁 수상비행기 기지,ALZ,미국
Allahabad Airport,알라하바드 공항,IXD,인도
Allakaket Airport,알라카켓 공항,AET,미국
Allama Iqbal International Airport,알라마 이크발 국제 공항,LHE,파키스탄
Allegheny County Airport,앨러게니 카운티 공항,AGC,미국
Alliance Municipal Airport,얼라이언스 공항,AIA,미국
Alma Airport,알마 공항,YTF,캐나다
Almaty International Airport,알마티 국제 공항,ALA,카자흐스탄
AlmerIa Airport,알메리아 공항,LEI,스페인
Almirante Marcos A. Zar Airport,알미란테 마르코스 A. 자르 공항,REL,아르헨티나
Almirante Padilla Airport,알미란테 파딜라 공항,RCH,콜롬비아
Along Airport,알라오 공항,IXV,인도
Alor Island Airport,알로르 아일랜드 공항,ARD,인도네시아
Alpena County Regional Airport,앨피너 카운티 공항,APN,미국
Alpine Casparis Municipal Airport,알파인 카스파리 시립공항,ALE,미국
Alta Airport,알타 공항,ALF,노르웨이
Alta Floresta Airport,알타 플로레스타 공항,AFL,브라질
Altai Airport,알타이 공항,LTI,몽골
Altamira Airport,알타미라 공항,ATM,브라질
Altay Airport,알타이 공항,AAT,중국
Alto RIo Senguer Airport,알토 리오 셍구에르 공항,ARR,아르헨티나
Altoona Blair County Airport,앨투나 블레어 카운티 공항,AOO,미국
Alula Aba Nega Airport,알룰라 아바 네가 공항,MQX,이디오피아
Alxa Left Banner Bayanhot Airport,바얀호트 공항,AXF,중국
Alxa Right Banner Badanjilin Airport,바단길린 공항,RHT,중국
Alykel Airport,알리켈 공항,NSK,러시아
Alzintan Airport,알진탄 공항,ZIS,리비아
Amado Nervo International Airport,아마도 네르보 국제공항,TPQ,멕시코
Amakusa Airfield,아마쿠사 비행장,AXJ,일본
Amami Airport,아마미 공항,ASJ,일본
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,터키
Ambala Airport,암발라 공항,n/a,인도
Ambalabe Airport,암발라베 공항,WAI,마다가스카르
Ambatomainty Airport,암바토마인티 공항,AMY,마다가스카르
Ambatondrazaka Airport,암바톤드라자카 공항,WAM,마다가스카르
Ambikapur Darima Airport,암비카푸르 다리마 공항,n/a,인도
Ambler Airport,앰블러 공항,ABL,미국
Amborovy Airport,암보로비 공항,MJN,마다가스카르
Amboseli Airport,암보셀리 공항,ASV,케냐
Ambrolauri Airport,암브롤라우리 공항,n/a,조지아
Amderma Airport,암데르마 공항,AMV,러시아
Amdjarass Airport,암자라스 공항,n/a,차드
Amgu Airport,암구 공항,AEM,러시아
AmIlcar Cabral International Airport,아밀카르 카브랄 국제공항,SID,카보베르데
Amman Civil Airport,암만 민간공항,ADJ,요르단
Amook Bay Seaplane Base ,아묵 베이 수상비행기 기지,AOS,미국
Ampara Airport,암파라 공항,ADP,스리랑카
Amravati/Belora Airport,암라바티/벨로라 공항,n/a,인도
Amsterdam AirportSchiphol,암스테르담 스키폴 공항,AMS,네덜란드
Anaa Airport,아나 공항,AAA,프랑스령 폴리네시아
Anadolu Airport,아나돌루 공항,AOE,터키
Anahim Lake Airport,아나힘 레이크 공항,YAA,캐나다
Anaktuvuk Pass Airport,아낙투북 패스 공항,AKP,미국
Anambra International Cargo Airport,아남브라 국제화물 공항,ANA,나이지리아
Anapa Vityazevo Airport,아나파 비티아제보 공항,AAQ,러시아
Anatom Airport,아톰공항,AUY,바누아투
Ancona Falconara Airport,안코나 팔코나라 공항,AOI,이탈리아
Andahuaylas Airport,안다와일라스 공항,ANS,페루
Andamooka Airport,안다무카 공항,ADO,오스트레일리아
Andavadoaka Airport,안다바도아카 공항,DVD,마다가스카르
Andi Jemma Airport,안디 젬마 공항,MXB,인도네시아
Andimba Toivo ya Toivo Airport,안딤바 토이보 야토이보 공항,OND,나미비아
Andizhan Airport,안디잔 공항,AZN,우즈베키스탄
Andoya Airport Andenes,안도야 공항,ANX,노르웨이
Andre Maggi Airport,안드레 마기 공항,OTT,브라질
Andres Miguel Salazar Airport,안드레스 미구엘 살라자르 공항,ICC,베네수엘라
Andrews Field,앤드루스 공군기지,ADW,미국
Andros Town International Airport,안드로스 타운 국제공항,ASD,바하마
Angads Airport,앙가드 공항,OUD,모로코
Angama Mara Airport,앙가마 마라 공항,ANA,케냐
angel Albino Corzo International Airport,앙헬 알비노 코르조 국제공항,TGZ,멕시코
Angelholm Helsingborg Airport,엔겔홀름 헬싱보리 공항,AGH,스웨덴
Angers Loire Airport,앙제 루아르 공항,ANE,프랑스
Anglesey Airport,앵글시 공항,VLY,영국
Angling Lake/Wapekeka Airport,앵글링 레이크/와페케카 공항,YAX,캐나다
Angoon Seaplane Base,앙군 수상비행기 기지,AGN,미국
Angouleme Cognac International Airport,앙굴렘 코냑 국제공항,ANG,프랑스
Angra dos Reis Carmelo Jordao Airport,카르멜로 조르당 공항,GDR,브라질
Aniak Airport,아니악 공항,ANI,미국
Aniwa Airport,아니와 공항,AWD,바누아투
Ankang Wulipu Airport,안캉 울리푸 공항,AKA,중국
Ankavandra Airport,앙카반드라 공항,JVA,마다가스카르
Ann Airport,앤 공항,VBA,미얀마
Annaba Rabah Bitat Airport,안나바 라바 비타트 공항,AAE,알제리
Annecy Haute Savoie Mont Blanc Airport,안시 몽블랑 공항,NCY,프랑스
Annobon Airport,아노본 공항,NBN,적도 기니
Anqing Tianzhushan Airport,안칭 티안주산 공항,AQG,중국
Anshan Teng'ao Airport,안산 텅아오 공항,AOG,중국
Anshun Huangguoshu Airport,안순 황궈슈 공항,AVA,중국
Anta Airport,안타 공항,ATA,페루
Antalya Airport,안탈리아 공항,AYT,터키
Antoine Simon Airport,앙투안 시몽 공항,CYA,아이티
Antonio B. Won Pat International Airport,안토니오 B. 원 팻 국제공항,GUM,괌
Antonio Correia Pinto de Macedo Airport,안토니오 코레이아 핀토 데 마세도 공항,LAJ,브라질
Antonio Jose de Sucre Airport,안토니오 호세 데 수크레 공항,CUM,베네수엘라
Antonio Maceo International Airport,안토니오 마세오 국제공항,SCU,쿠바
Antonio Narino Airport,안토니오 나리뇨 공항,PSO,콜롬비아
Antonio Rivera RodrIguez Airport,안토니오 리베라 로드리게스 공항,VQS,푸에르토리코
Antonio Roldan Betancourt Airport,안토니오 롤단 베탕쿠르 공항,APO,콜롬비아
Antsirabato Airport,안시라바토 공항,ANM,마다가스카르
Antsirabe Airport,안트시라베 공항,ATJ,마다가스카르
Antwerp International Airport,앤트워프 국제 공항,ANR,벨기에
Anvik Airport,안빅 공항,ANV,미국
Anyang Airport,안양공항,AYN,중국
Anyang Hongqiqu Airport,안양홍치취공항,HQQ,중국
Aomori Airport,아오모리 공항,AOJ,일본
Aosta Valley Airport,아오스타 밸리 공항,AOT,이탈리아
Apataki Airport,아파타키 공항,APK,프랑스령 폴리네시아
Apolo Airport,아폴로 공항,APB,볼리비아
Appleton International Airport,애플턴 국제공항,ATW,미국
April Point Water Aerodrome,에이프릴 포인트 수상비행장,YQJ,캐나다
Aracati Airport,아라카티 공항,ARX,브라질
Aracatuba Airport,아라사투바 공항,ARU,브라질
Arad International Airport,아라드 국제공항,ARW,루마니아
AraguaIna Airport,아라과이나 공항,AUX,브라질
Arak Airport,아라크 공항,AJK,이란
Aransas County Airport,애런사스 카운티 공항,RKP,미국
Aranuka Buariki Airport,아라누카 부아리키 공항,AAK,키리바시
Arapongas Airport,아라퐁가스 공항,APX,브라질
Arar Domestic Airport,아라르 국내선 공항,RAE,사우디아라비아
Araracuara Airport,아라라쿠아라 공항,ACR,콜롬비아
Araraquara Airport,아라라콰라 공항,AQA,브라질
Araripina Airport,아라리피나 공항,JAW,브라질
Arathusa Airport,아라투사 공항,ASS,남아프리카
Aratika Nord Airport,아라티카 노르드 공항,RKA,프랑스령 폴리네시아
Araxa Airport,아락사 공항,AAX,브라질
Araxos Airport,아락소스 공항,GPA,그리스
Arba Minch Airport,아르바 민치 공항,AMH,이디오피아
Arcata-Eureka Airport,아르카타-유레카 공항,ACV,미국
Arctic Bay Airport,북극 베이 공항,YAB,캐나다
Arctic Village Airport,북극 마을 공항,ARC,미국
Ardabil Airport,아르다빌 공항,ADU,이란
Ardmore Industrial Airpark,아드모어 산업 비행장,ADM,미국
are Ostersund Airport,아레 외스테르순드 공항,OSD,스웨덴
Arendal Airport Gullknapp,아렌달 공항 굴크냅,n/a,노르웨이
Argyle Airport,아가일 공항,GYL,오스트레일리아
Argyle International Airport,아가일 국제 공항,SVD,세인트빈센트그레나딘
Aripuana Airport,아리푸아낭 공항,AIR,브라질
Ariquemes Airport,아리케메스 공항,AQM,브라질
Aristides Pereira International Airport,아리스티데스 페레이라 국제공항,BVC,카보베르데
Arkansas International Airport,아칸소 국제 공항,BYH,미국
Arlington Municipal Airport,알링턴 시립공항,n/a,미국
Arlit Airport,아를릿 공항,RLT,니제르
Armidale Airport,아미데일 공항,ARM,오스트레일리아
Arnold Palmer Regional Airport,아놀드 파머 공항,LBE,미국
Aropa Airport,아로파 공항,KIE,파푸아뉴기니
Arorae Island Airport,아로라 아일랜드 공항,AIS,키리바시
Arrabury Airport,아라베리 공항,AAB,오스트레일리아
Arrachart Airport,아라차트 공항,DIE,마다가스카르
Arthur Napoleon Raymond Robinson International Airport,아서 나폴레옹 레이몬드 로빈슨 국제 공항,TAB,트리니다드토바고
Arthur's Town Airport,아서스 타운 공항,ATC,바하마
Arturo Merino BenItez International Airport,아르투로 메리노 베니테스 국제 공항,SCL,칠레
Arturo Michelena International Airport,아르투로 미켈레나 국제 공항,VLN,베네수엘라
Arua Airport,아루아 공항,RUA,우간다
Arusha Airport,아루샤 공항,ARK,탄자니아
Arutua Airport,아루투아 공항,AXR,프랑스령 폴리네시아
Arviat Airport,아르비아 공항,YEK,캐나다
Arvidsjaur Airport,아르비스야우르 공항,AJR,스웨덴
Arxan Yi'ershi Airport,아산 이얼시 공항,YIE,중국
Asaba International Airport,아사바 국제공항,ABB,나이지리아
Asahikawa Airport,아사히카와 공항,AKJ,일본
Asheville Regional Airport,애슈빌 공항,AVL,미국
Ashgabat International Airport,아시가바트 국제공항,ASB,투르크메니스탄
Asmara International Airport,아스마라 국제공항,ASM,에리트레아
Asosa Airport,아소사 공항,ASO,이디오피아
Aspen Pitkin County Airport,아스펜 핏킨 카운티 공항,ASE,미국
Assab International Airport,아사브 국제공항,ASA,에리트레아
Assiut Airport,아시우트 공항,ATZ,이집트
Astor Piazzolla International Airport,아스토르 피아졸라 국제공항,MDQ,아르헨티나
Astoria Regional Airport,아스토리아 지역공항,AST,미국
Asturias Airport,아스투리아스 공항,OVD,스페인
Astypalaia Island National Airport,아스티팔라이아 아일랜드 내셔널 공항,JTY,그리스
Aswan International Airport,아스완 국제공항,ASW,이집트
Atambua Haliwen Airport,아탐부아 할리웬 공항,ABU,인도네시아
Ataq Airport,아타크 공항,AXK,예멘
Athens Ben Epps Airport,아테네 벤 엡스 공항,AHN,미국
Athens International Airport,아테네 국제공항,ATH,그리스
Atka Airport,앗카 공항,AKB,미국
Atlangatepec Tlaxcala Airport,아틀란가테펙 틀락스칼라 공항,n/a,멕시코
Atlantic City International Airport,애틀랜틱시티 국제공항,ACY,미국
Atmautluak Airport,아트마우틀루악 공항,ATT,미국
Atqasuk Edward Burnell Sr. Memorial Airport,앳가숙 에드워드 버넬 시니어 메모리얼 공항,ATK,미국
Attapeu International Airport,아타푸 국제공항,AOU,라오스
Attawapiskat Airport,아타와피스캇 공항,YAT,캐나다
Atung Bungsu Airport,아퉁 붕수 공항,PXA,인도네시아
Atuona Airport,아투오나 공항,AUQ,프랑스령 폴리네시아
Atyrau Airport,아티라우 공항,GUW,카자흐스탄
Auburn University Regional Airport,오번대학교 지역공항,AUO,미국
Auckland Airport,오클랜드 공항,AKL,뉴질랜드
Augsburg Airport,아우크스부르크 공항,AGB,독일
Augusta Regional Airportat Bush Field,오거스타 공항앳 부시 필드,AGS,미국
Augusta State Airport,오거스타 주립공항,AUG,미국
Auguste George Airport,오귀스트 조지 공항,NGD,영국령 버진아일랜드
Augusto C. Sandino International Airport,아우구스토 C. 산디노 국제공항,MGA,니카라과
Auki Gwaunaru'u Airport,아우키 과우나루우 공항,AKS,솔로몬 제도
Aupaluk Airport,아우팔룩 공항,YPJ,캐나다
Aur Airport,아우르 공항,AUL,마샬 군도
Aurangabad Airport,아우랑가바드 공항,IXU,인도
Aurel Vlaicu International Airport,아우렐 블라이쿠 국제공항,BBU,루마니아
Aurillac Tronquieres Airport,오리락 공항,AUR,프랑스
Aurukun Airport,오루쿤 공항,AUU,오스트레일리아
Austin Bergstrom International Airport,오스틴 버그스트롬 국제공항,AUS,미국
Austin Straubel International Airport,오스틴 스트라우벨 국제 공항,GRB,미국
Avalon Airport,아발론 공항,AVV,오스트레일리아
Aviador Carlos Campos Airport,아비아도르 카를로스 캄포스 에어포트,CPC,아르헨티나
Avignon Provence Airport,아비뇽 프로방스 공항,AVN,프랑스
Awang Airport,아왕 공항,CBO,필리핀
Awasa Airport,아와사 공항,AWA,이디오피아
Axum Airport,악숨 공항,AXU,이디오피아
Ayan Airport,아얀 공항,n/a,러시아
Aydin Airport,아이딘 공항,CII,터키
Ayers Rock Airport,에어즈락 공항,AYQ,오스트레일리아
Ayodhya International Airport,아요디아 국제공항,AYJ,인도
Azamgarh Airport,아잠가르 공항,AZH,인도
Babo Airport,바보 공항,BXB,인도네시아
Bacacheri Airport,바카체리 공항,BFH,브라질
Bacau International Airport,바커우 국제공항,BCM,루마니아
Bacha Khan International Airport,바차 칸 국제 공항,PEW,파키스탄
Bachigualato Federal International Airport,바키구알라토 연방 국제공항,CUL,멕시코
Baco Airport,바코 공항,BCO,이디오피아
Bacolod Silay International Airport,바콜로드 실라이 국제공항,BCD,필리핀
Badajoz Airport,바다호스 공항,BJZ,스페인
Badu Island Airport,바두 아일랜드 공항,BDD,오스트레일리아
Bafoussam Airport,바푸샴 공항,BFX,카메룬
Bagdogra Airport,바그도그라 공항,IXB,인도
Baghdad International Airport,바그다드 국제 공항,BGW,이라크
Baglung Airport,바그룽 공항,BGL,네팔
Bagram Airfield,바그람 비행장,OAI,아프가니스탄
Bahawalpur Airport,바하왈푸르 공항,BHV,파키스탄
BahIa Pina Airport,바이아피냐 공항,BFQ,파나마
BahIas de Huatulco International Airport,바이아스 데 우아툴코 국제공항,HUX,멕시코
Bahir Dar Airport,바히르 다르 공항,BJR,이디오피아
Bahrain International Airport,바레인 국제 공항,BAH,바레인
Baia Mare Airport,바이아 마레 공항,BAY,루마니아
Baicheng Chang'an Airport,바이청 장안 공항,DBC,중국
Baidoa Airport,바이도아 공항,BIB,소말리아
Baie Comeau Airport,베 코모 공항,YBC,캐나다
Baikal International Airport,바이칼 국제 공항,UUD,러시아
Baise Bama Airport,바이스 바마 공항,AEB,중국
Bajawa Soa Airport,바자와 소아 공항,BJW,인도네시아
Bajura Airport,바주라 공항,BJU,네팔
Bakelalan Airport,바켈랄란 공항,BKM,말레이시아
Baker Lake Airport,베이커 레이크 공항,YBK,캐나다
Balakovo Airport,발라코보 공항,BWO,러시아
Balalae Airport,발랄래 공항,BAS,솔로몬 제도
Balikesir Airport,발리케시르 공항,BZI,터키
Balikesir Koca Seyit Airport,발리케시르 코카 세이이트 공항,EDO,터키
Balimo Airport,발리모 공항,OPU,파푸아뉴기니
Balkanabat Airport,발카나바트 공항,BKN,니제르
Balkhash Airport,발카쉬 공항,BXH,카자흐스탄
Ballarat Airport,밸러랫 공항,n/a,오스트레일리아
Ballera Airport,발레라 공항,BBL,오스트레일리아
Ballina Byron Gateway Airport,발리나 바이런 게이트웨이 공항,BNK,오스트레일리아
Balmaceda Airport,발마세다 공항,BBA,칠레
Balti International Airport,벨시 국제공항,BZY,몰도바
Baltimore/Washington International Thurgood Marshall Airport,볼티모어/워싱턴 인터내셔널 서굿 마샬 공항,BWI,미국
Balurghat Airport,발루가트 공항,RGH,인도
Bam Airport,뱀 공항,BXR,이란
Bamako Senou International Airport,바마코 세누 국제공항,BKO,말리
Bamenda Airport,바멘다 공항,BPC,카메룬
Bamyan Airport,바미얀 공항,BIN,아프가니스탄
Ban Huoeisay Airport,반 후오이세이 공항,HOE,라오스
Bancasi Airport,반카시 공항,BXU,필리핀
Bandar Abbas International Airport,반다르아바스 국제공항,BND,이란
Bandar Lengeh Airport,반다르 렝게 공항,BDH,이란
Bandaranaike International Airport,반다라나이케 국제공항,CMB,스리랑카
Bangoka International Airport,방고카 국제 공항,FKI,콩고 민주공화국
Bangor International Airport,뱅거 국제공항,BGR,미국
Bangui M'Poko International Airport,방기 음포코 국제공항,BGF,중앙아프리카공화국
Banja Luka International Airport,바냐루카 국제공항,BNX,보스니아 헤르체고비나
Banjul International Airport,반줄 국제공항,BJL,감비아
Bankstown Airport,뱅크스타운 공항,BWU,오스트레일리아
Bannu Airport,반누 공항,n/a,파키스탄
Bantayan Airport,반타얀 공항,n/a,필리핀
Banyuwangi Airport,반유왕이 공항,BWX,인도네시아
Baoshan Yunduan Airport,바오산 윈두안 공항,BSD,중국
Baotou Airport,바우터우 공항,BAV,중국
Baramati Airport,바라마티 공항,n/a,인도
Barbuda Codrington Airport,바부다 코드링턴 공항,BBQ,앤티가 바부다
Barcaldine Airport,바르칼딘 공항,BCI,오스트레일리아
Barcelona El Prat Airport,바르셀로나 엘프라트 공항,BCN,스페인
Barcelos Airport,바르셀로스 공항,BAZ,브라질
Bardufoss Airport,바두포스 공항,BDU,노르웨이
Bareilly Airport,바레일리 공항,BEK,인도
Bari Karol WojtyLa Airport,바리 카롤 보이티와 공항,BRI,이탈리아
Barimunya Airport,바리문야 공항,BYP,오스트레일리아
Barinas Airport,바리나스 공항,BNS,베네수엘라
Bario Airport,바리오 공항,BBN,말레이시아
Barisal Airport,바리살 공항,BZL,방글라데시
Barkley Regional Airport,바클리 공항,PAH,미국
Barksdale Air Force Base,바크스데일 공군기지,BAD,미국
Barnaul Airport,바르나울 공항,BAX,러시아
Barnstable Municipal Airport,반스터블 뮤니시펄 공항,HYA,미국
Barra Airport,바라 공항,BRR,영국
Barra do Garcas Airport,바라 두 가르사스 공항,BPG,브라질
Barreiras Airport,바레이라스 공항,BRA,브라질
Barreirinhas Airport,바레이리냐스 공항,BRB,브라질
Barrow Island Airport,배로우 아일랜드 공항,BWB,오스트레일리아
Barter Island LRRS Airport,바터 아일랜드 LRRS 공항,BTI,미국
Bartletts Airport,바틀렛 공항,BSZ,미국
Bartolome Salom Airport,바르톨로메 살롬 공항,PBL,베네수엘라
Bartolomeu Lysandro Airport,바르톨로메우 리산드로 공항,CAW,브라질
